objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
img_042070,img_042070.jpg,,Oranjemund,Edda Schoedder,1979-11-30,Streets in Oranjemund,,Oranjemund,-27.4667,15.4196,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042072,img_042072.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-27.4667,15.4196,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042073,img_042073.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-27.4667,15.4196,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042074,img_042074.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042075,img_042075.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042076,img_042076.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042077,img_042077.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042078,img_042078.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042079,img_042079.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042080,img_042080.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042081,img_042081.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042082,img_042082.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042083,img_042083.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042084,img_042084.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042085,img_042085.jpg,,Sperrgebiet,Edda Schoedder,1979-11-30,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042086,img_042086.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,,,,-26.918889,15.204444,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
